Usuario,Periodo,Comentario
Viajeros,a week ago,"Muy buen local, pequeño para la gran cantidad de gente que quiere entrar. El concepto de los nombres es entretenido (nombres de componentes de bicicletas). Se entiende la dinámica, bueno y precios acorde a lo que ofrece. …"
Rafael Riveros Yáñez,a week ago,Buena Cerveza y buena pizza!
Agustín Ariztía,a month ago,"Buenas pizzas y gran ambiente

(Translated by Google)
Good pizzas and great atmosphere"
Karla Moncada,a month ago,
Helen Sofia Garcia Sarmiento,a month ago,
Milena Donaire Villarroel,a month ago,"Comida deliciosa y cervezas frías 😋

(Translated by Google)
Delicious food and cold beers 😋"
francisco osorio,2 months ago,"Ddcto hssta las 4 si te vacunaste

(Translated by Google) …"
antonia jeffs,2 months ago,"Está bien el trato, las cervezas, las ensaladas y son honestos en la cuenta.

(Translated by Google) …"
Nicolas Barros,3 months ago,
Cristobal Astaburuaga,3 months ago,"Buen lugar para ir despues de la oficina con compañeros, sólo cervezas no tienen destilados. …"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Roberto Avendano,3 months ago,"El lugar regalón de cerveza y pizza, aunke los precios se han disparado

(Translated by Google) …"
Stefano Ricci Falco,3 months ago,
Felipe Andrés Rojas Grandi,3 months ago,"Un lugar muy agradable y una excelente carta de pizzas

(Translated by Google) …"
vania maldonado arancibia,3 months ago,
America Paredes White,3 months ago,
daniel lopicich risi,3 months ago,"Bueno, las pizzas suficientemente decentes, pero nada muy especial. Buena atención y rapidez. …"
Francisca Velásquez,4 months ago,
daniel carreño reyes,4 months ago,Gran variedad de cerveza artesanal. Excelentes y sabrosos entremeses que deleitan el paladar. Descuento y estacionamiento para ciclistas. El dscto corre si tod@s son ciclistas. …
José Corrales,4 months ago,"Super buena atención y excelente comida y cerveza

(Translated by Google) …"
Maximiliano Echeverria,4 months ago,"Rico, bueno, y la atención es igual de buena ;)

(Translated by Google) …"
Andrea Villarreal,4 months ago,"Siempre nos atienden muy bien
Las pizzas muy ricas y las cervezas 🍕🍺 …"
Pati Sanchez,4 months ago,"Me encanta este lugar,

(Translated by Google)
I love this place,"
Katherine Chaparro,4 months ago,
Florencia Bailin,4 months ago,
René Fonseca,5 months ago,"La atención muy buena y rápida, super atentos y muy  preocupado por el manejo de higiene, dan bolsitas para dejar la mascarilla y hay alcohol gel en cada mesa, cosa que no he visto eso en otros restaurantes. Y la comida espectacular 👌 muy …"
michael vargas,5 months ago,
Emilio Bascuñan,5 months ago,"Super mala la atención, casi como que hicieras un favor por ir. El que está en príncipe de Gales todo lo contrario. Al de Bilbao no voy más.... …"
Pietro Giancarlo Moletto Lobos,5 months ago,
Cynthia Opazo,6 months ago,
PAOLA GRIECO,6 months ago,"Son buenas las pizzas y también la cerveza. Siempre muy fria👍🍻

(Translated by Google) …"
Cristián Rojas,6 months ago,
Ignacio Javier Del Valle Costa,6 months ago,
maria de los angeles spencer,6 months ago,
CARLOS HADDAD,6 months ago,
José Guidobono,7 months ago,"Siempre es un buen lugar para visitar. Su especialidad, unas pizzas a la piedra increíbles. Para picotear y beber cervezas artesanales. Un lugar que hay que conocer. …"
christian madariaga,7 months ago,"Muy buena atención y pizzas, falta un poco de control sobre los personajes escandalosos pero lo demás bkn. …"
Karla E,7 months ago,"Me armaron mi pizza vegana!!

(Translated by Google)
They made me my vegan pizza !!"
E. Schlomit Flores H.,7 months ago,"Todo bien, gran variedad de cerveza, las pizzas muy ricas. Le falta más ambiente no mas, pero todo bien. …"
Leonora Guerrero,7 months ago,
lorena Garfias,7 months ago,"Siempre ,el mejor bar de la esquina  y dscto si mencionan que van en cleta

(Translated by Google) …"
maría josé ramos,7 months ago,
Philipp Seidel,7 months ago,
Alberto Perasic,7 months ago,Uno de los mejores lugares para tomarse unos shops y comer pizza. Buen ambiente. Ultra recomendable …
Martin Cerda,8 months ago,
Michael Aliaga,8 months ago,"Solo comí pizza con un shop de cerveza, todo genial, incluida la atención y las medidas de higiene. …"
Rene Silva,8 months ago,"Bien a medias!! Una decoración rústica en madera, bonito!!
La atención de la garzona a la entrada, poco cordial y después en la mesa, si querías pedir algo más, son sordos, ciegos, y siempre giran en el sentido …"
Fabian Castillo,8 months ago,
Andrea Peralta,8 months ago,"Supeer chevere

(Translated by Google)
Super cool"
William Nuñez Sanchez,8 months ago,
Ricardo Saavedra,8 months ago,
Disa Contreras,8 months ago,
Warren Whippo,8 months ago,"Mejor lista de cervezas y pizzas!

(Translated by Google)
Best beer and pizza list!"
Stephanie Waleska Ramos Herrera,8 months ago,
Fernando Humberto Roa Olea,8 months ago,"Excelente lugar para compartir 😜

(Translated by Google)
Excellent place to share 😜"
Claudia Quiroga,8 months ago,
jorge messenger,8 months ago,"Buenas chelas y pizzas

(Translated by Google)
Good chelas and pizzas"
alexis seguel,8 months ago,
Sebastian Vera,8 months ago,De las mejores pizzerías de Santiago. Las Pizzas son maravillosas y acompañan muy buenas  cervezas artesanales …
alejandra patricia riquelme lagos,8 months ago,"Excelente cerveza y pizzas grato ambient3

(Translated by Google) …"
Larissa Garcia,9 months ago,"La comida exquisita y buena atención.

(Translated by Google)
Exquisite food and good service."
Jonathan Jamett,9 months ago,"Excelentes pizzas con masa piedra. Recomendada la Cross Country

(Translated by Google) …"
Jose Urrutia,9 months ago,"Las mejores pizzas y cervezas

(Translated by Google)
The best pizzas and beers"
Gonzalo Aravena,9 months ago,
Carlos Fontecilla,9 months ago,
Heber Bello,9 months ago,
pedro lira,10 months ago,
José Antonio Casas Salazar,a year ago,
Andres SilvaBüchler,a year ago,"Mozzarella Sticks una delicia para picar.😉👌🏻

(Translated by Google)
Mozzarella Sticks a delight to snack on."
Domenico Zunino,a year ago,"La raja!

(Translated by Google)
The slit!"
claudia faundez,a year ago,"Buen lugar, buen ambiente, pizza rebuenas y cervezas heladitas y de todos los tipos. Si vas a vender chelas que sean heladas y ellos si cumplen …"
Felipe,a year ago,"Más allá del ambiente cletero, buena cerveza y pizza.

(Translated by Google) …"
Anita Burgos,a year ago,"Excelente lugar para pasar una tarde de calor ,tomando buena cerveza y sus variedades de pizza …"
Edgardo Arellano,a year ago,"Excelente lugar con mejores cervezas y espectaculares pizzas.

(Translated by Google) …"
Cristian Cornejo,a year ago,"el mejor lugar de stgo para comer pizza y tomar cerveza

(Translated by Google) …"
Daniela Alvarez,a year ago,
alonr13000 futurama,a year ago,"Muy agradable, ricas pizzas y buena cerveza

(Translated by Google)
Very nice, delicious pizzas and good beer"
Sebastian Araos,a year ago,
Graciela Contreras,a year ago,
Victor Maulén,a year ago,"Muy buenas pizzas y lo mejor las cervezas!

(Translated by Google)
Very good pizzas and the best beers!"
Thomas Mcphillips,a year ago,"Good craft beer, limonades, and the best pizza around Santiago, and if you go by bike they give you 10% of discount in the total."
Simo ne,a year ago,"Bien... poca variedad de tragos y de cerveza

(Translated by Google) …"
alan eastman,a year ago,
Paola Leon,a year ago,"Buenas pizzas y diferentes variedades de cervezas

(Translated by Google) …"
Lorena Rivera,a year ago,"Rico lugar para compartir unas cervezas y unas pizzas

(Translated by Google)
Rich place to share some beers and pizzas"
Jorge Cepeda,a year ago,
Camilo Alarcon,a year ago,"Buenas cervezas, gran variedad, las pizzas son una maravilla.

(Translated by Google) …"
Cristian Hernandez,a year ago,"Buen lugar para comer pizzas a la piedra

(Translated by Google)
Good place to eat stone pizzas"
Francisco Kemeny,a year ago,"Este local cada vez es más malo. La calidad de las pizzas bajó, ya me han salido cervezas sin gas varías veces y ahora una mesa de 4 no puede ser para tres, pero una mesa de 2 si... prefiera La Popular a dos cuadras de aquí. …"
Javier Cordero,a year ago,"Increibles Pizzas....

(Translated by Google)
Amazing Pizzas ...."
Abel Vallejos,a year ago,"Muy ricas pizzas, cervezas muy heladas, ideal cuando hay 33° en Santiago.
Aunque, la atención fue precaria y el local no estaba al 100% de su capacidad.
Al no dejar propina, la mesera me pregunta el ""por qué?"" Le comento que descuidó …"
