Usuario,Periodo,Comentario,ODSEW-ShBeI-QClCJf-QYOpke-title,ODSEW-ShBeI-QClCJf-QYOpke-VdSJob,ODSEW-ShBeI-text 2
Miguel Alvarez,18 hours ago,,,,
Aimara Elías Dubs,18 hours ago,,,,
Eduardo Arévalo,a day ago,"Mi lugar favorito de Stgo. para comer pizza.
A mi parecer la mejor pizza napolitana y a buen precio por la calidad que entregan. Con el cierre de Granaderos se puede comer en la calle o en la terraza del …",Response from the owner,a day ago,"Gracias Eduardo, por su comentario y calificacion, los esperamos pronto"
savka fernandez,5 days ago,,,,
Laura Aponte Zapata,a week ago,,,,
Vanessa Urrutia,a week ago,,,,
Lorena Pascual,a week ago,,,,
Jonathan Erazo A.,a week ago,"la mejor Pizzeria de Santiago, servidas en el local son mejores que el delivery. …",,,
natalio leon,a week ago,"Muy buena comida en este lugar

(Translated by Google)
Very good food in this place",,,
Mackarena Alvarado Guerra,a week ago,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Paulina Diaz,a week ago,,,,
Jessica Alejandra Godoy Cornejo,a week ago,"Las mejores Pizzas!

(Translated by Google)
The best pizzas!",,,
Graciela Bennett,a week ago,,,,
pedro sierra,2 weeks ago,,Response from the owner,a day ago,Gracias Pedro por su calificación los esperamos pronto de vuelta en Domani
Jacqueline Venegas Fuentes,2 weeks ago,"Pizza vera

(Translated by Google)
Pizza Vera",Response from the owner,a day ago,"Gracias Jacqueline por tu calificación, los esperamos pronto en Domani."
Scuba Chile,2 weeks ago,"Buena atencion, pizzas muy delgadas.",Response from the owner,a day ago,"Gracias por su comentarios y calificacion, los esperamos nuevamente"
Valeria Videla Espinoza,2 weeks ago,,Response from the owner,a day ago,"Gracias Valeria por tu calificación.
Los esperamos nuevamente"
Renato Sepúlveda,2 weeks ago,"Siempre un agrado

(Translated by Google)
Always a pleasure",Response from the owner,a day ago,"Gracias Renato, por tu comentario los esperamos nuevamente."
Yadelis Adriana Silva,3 weeks ago,Las pizzas son muy ricas. Es pizza con harina italiana entonces el sabor es muy bueno y son delgadas... Las Ame ❤️... Pocas pizzas de la misma calidad en Santiago …,Response from the owner,a day ago,"Gracias Yadelis por tu comentario, y calificación los esperamos nuevamente."
Mario Salinas,3 weeks ago,,Response from the owner,a day ago,Gracias Mario por tu calificación te esperamos nuevamente.
Juan Pablo Cerpa Rivas,a month ago,"Ricas pizzas y tragos. Recomendado

(Translated by Google)
Delicious pizzas and drinks. Recommended",Response from the owner,a day ago,"Gracias Juan Pablo por tu comentario y calificacion, te esperamos. P"
Tomas Riveros,a month ago,,Response from the owner,a day ago,"Gracias tomas por tu calificación, te. Esperamos nuevamente."
Noelia Domínguez,a month ago,,Response from the owner,a day ago,"Gracias Noelia, por tu calificación te esperamos."
LICET HEITMANN,a month ago,,Response from the owner,a day ago,"Gracias Licet, por su calificación los esperamos"
Paulina Rojas,a month ago,,Response from the owner,a day ago,Gracias Paulina por tu calificación esperamos verte pronto.
David Alejandro Loyola Valdivia,a month ago,,Response from the owner,a day ago,Grcaias David por su calificación los esperamos nuevamente.
0909 alejo (‪0909alejo‬),a month ago,"Muy ricas las pizzas y gran atención.

(Translated by Google)
Very tasty pizzas and great attention.",Response from the owner,a day ago,Muchas gracias por su comentarios los esperamos pronto.
Fabian Nieto,a month ago,"Siempre es un agrado asistir a domani, me encnat la carta y los tragos. Buen precio y calidad. …",Response from the owner,a day ago,Gracias Fabian por su comentario y calificacion los esperamos nuevamente.
Axel Tamayo,a month ago,"Muy buen lugar!!

(Translated by Google)
Very good place !!",Response from the owner,a day ago,Gracias Axel por su comentario y calificación los esperamos pronto de vuelta
Lorena Marín,a month ago,,Response from the owner,a day ago,"Muchas grrcacias por su comentario, y calificación los esperamos nuevamente."
Catalina Díaz,a month ago,"Muy bueno, a pesar de haber estado lleno las pizzas estuvieron listas en 10-15 minutos, excelente servicio. Muy buenas pizzas. …",Response from the owner,a week ago,"Muchas gravias por tu calificacion y comentario, te esperamos nuevamente.

(Translated by Google)
Many thanks for your rating and comment, we are waiting for you again."
alejandro Araya Silva,a month ago,,Response from the owner,2 weeks ago,"Gracias Alejandro por su valoración, los esperamos nuevamente. Saludos

(Translated by Google)
Thank you Alejandro for your assessment, we are waiting for you again. Greetings"
Jose Alejandro Ortiz Espinoza,a month ago,"excelente lugar

(Translated by Google)
Excellent place",Response from the owner,2 weeks ago,"Gracias José, por tu valoración, te esperamos nuevamente en Domani
Saludos

(Translated by Google)
Thank you José, for your assessment, we are waiting for you again at Domani
Greetings"
maria jose corominas gonzalez,a month ago,,Response from the owner,2 weeks ago,"Gracias María José por tu evaluación, los esperamos nuevamente en Domani.
Saludos"
