Usuario,Periodo,Comentario
Nestor Serrano,27 minutes ago,"Rica comida, paupérrima Atención"
Catalina Paz,a month ago,
Giovanna Hernandez,a month ago,"Lasagna fría, jugo de frambuesa caliente, la lechuga de la ensalada de salmón añeja, le pedí que me cambiara los limones por que estaban viejos, y no volvió más, no entren! Caro y malo …"
Guillermo Troncoso,3 months ago,"Pésimo servicio, es caro y su app de atención es horrible, nunca mas iría.

(Translated by Google) …"
Daniela Paz Reyes,4 months ago,"Música demasiado fuerte y horrible!

(Translated by Google)
Music too loud and horrible!"
Cristián Llanca,5 months ago,
Maximiliano Huerta,5 months ago,
Franco Ramírez González,6 months ago,"Buena app para pedir, los jugos no los sirven muy helados, mala cosa con este calor.
La masa de la pizza,  lo mejor 🍕 …"
Carlos Gautier,7 months ago,"Pedi, un Shop y un tiramisu mientras llegaba mi pareja y me dicen que tengo que pedir algo para comer, siendo que estaba esperando a mi pareja para hacer el pedido. …"
alanfrancoosc,7 months ago,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Alfredo Duran,a year ago,
José Luis Vergara Muñoz,a year ago,
Felipe Rosales,a year ago,
Fabian Serrano,a year ago,"La atención se podría decir que es buena. Pero desde el punto de vista gastronómico muy mal servicio, pedimos 2 platos uno de pastas y otro de lasaña, ambos venían sin la temperatura adecuada, al cabo de 2 minutos ambos platos ya estaban …"
doug leon,a year ago,
Yerko Muñoz Castro,a year ago,
Nacho Jerez,a year ago,"Muy buenos sabores y atencion

(Translated by Google)
Very good flavors and attention"
juan carlos correa ruiz,a year ago,
stefanny Liberona,a year ago,
Nathaly Heresi (Nathy),a year ago,"Caro y pésima comida...

(Translated by Google)
Expensive and lousy food ..."
Limel Alvarez,a year ago,"Jueves de 2x1 en las pizzas

(Translated by Google)
Thursday 2x1 in the pizzas"
Gabriel Toro,a year ago,"Vinimos al de Plaza Oeste, hoy 12 de enero 2019. Lo que pedimos estaba muy sabroso, muy rápido además, en 5 min nos trajeron la comida. Volveremos …"
Jose Villavicencio,a year ago,
Pablo Hernandez,a year ago,
Javiera Cifuentes,a year ago,
ruth medina,a year ago,
jacqueline mercedes riquelme poblete,a year ago,
jonathan rivera,a year ago,"Pesimo, nos sale un cabello humano en la comida, sin ninguna disculpa, y nos cambian el plato por uno inferior. No lo recomiendo …"
Marta Saldías,a year ago,"Las pizzas son ricas, pero en época de verano no prenden el aire acondicionado y uno se siente mal. He ido 3 veces en verano y siempre lo mismo …"
Karen Andrea Huentecura Gonzalez,a year ago,"Buen lugar

(Translated by Google)
Good place"
Marisol Isidora Guzmán Chávez,a year ago,"Domingo, 08 de diciembre de 2019. Fuimos almorzar con mi familia, mi esposo y yo pedimos ensalada y mis hijos una pizza margarita, la ensalada estaba mala (lechuga podrida) y el menú dice q trae albahaca y le colocaron rucula. La pizza la …"
Carlos Martinez Jorquera,a year ago,
Maru Chan,a year ago,"Siempre ricas, calientes y a buen precio el happy hour. Foto no tengo porque me las como con mucha ganas...!! El 2x1 de pizzas es de lunes a jueves de 4:30 a 8:30 p.m , viernes de 6 a 8 EXCLUYEN dias festivos,y el 2x1 de tragos es lo mismo …"
chuchu stylinson,a year ago,"La lasaña desabrida, hilos con los que cocinan la carne en la ensalada, caro comparado al sabor y presentación, la atención es mala y el mesero sin respeto. Conclusión mala la comida y mala atención. …"
andres ruiz,a year ago,"Muy buena comida

(Translated by Google)
Very good food"
Yako ViL,a year ago,No se lo recomendamos a nadie esta mal que ofrezcan pizzeria con recetas que no combinan como dicen una publicidad engañosa. Los tragos mal hechos y la atención no provoca la misma que manipula los alimentos esta haciendo aseo y mientras …
Dr. Carlos Enrique Hernández Borroto,a year ago,"Excelentes pizza para toda la familia

(Translated by Google)
Excellent pizza for the whole family"
Fanny Del Carmen Meriño Nuñez,a year ago,
Rodrigo Muñoz,a year ago,"Este lugar se encuentra en las terrazas de mall Arauco Maipú, se caracteriza en la preparación de pizzas y pastas del lado sur de Italia.. …"
jennifer huanchicay,a year ago,Buenas pizzas buenos platos pero el bebestible muy caro en comparacion con otros restoranes …
sandra silva lopez,a year ago,"Las pastas frías, recocidas y lento el servicio, además caro

(Translated by Google) …"
Jair Cesar Quesada Fernandes,a year ago,
Alejandro Hernández Barrientos,a year ago,"Para el precio de la comida, mala presentación. Un lugar que lleve ese nombre no puede presentarte una pizza hecha a base de tortillas burreras (de burritos) pasadas tres minutos por un horno. La atención es muy buena, eso si... …"
Aurora Gelvez,a year ago,"Rodo muy rico 😋

(Translated by Google)
I roll very rich 😋"
Miguel Vargas,a year ago,"Amplio lugar, dos espacios y terraza. Espacio principal cuenta con un horno de barro donde se cocina la pizza.
Variedad de otros platos, en especial las bruchetas. Deben probarlas. …"
Cristina Aedo,a year ago,
Gabriel Labrin,a year ago,
Fernando Mardones,a year ago,
Lucia Stifano,a year ago,
bernardita moraga albornoz,a year ago,
harold duran,a year ago,
Enrique Gutierrez,a year ago,"Local agradable para compartir unas deliciosas pizzas, además con buenas promociones y descuentos. Lo recomiendo. …"
Claudio Mora,a year ago,Las pizzas espectaculares... sabores increíbles... y las tardes tienen todo a mitad de precio !! …
Lord Cid (LORD CID DEED 43),a year ago,
Patricia Carvajal,a year ago,
Carlos Salinas,a year ago,
Carlos Patricio Candia Espinoza,a year ago,"Bueno barato rico

(Translated by Google)
Good cheap rich"
Marisel Villarroel,a year ago,"Muy buena atención,  exquisitas las pizzas

(Translated by Google)
Very good attention, exquisite pizzas"
Eduardo Valdés,a year ago,
Nicolas Villalonga,a year ago,"Buenas pizzas y promociones. Hay 2x1 todos los días, en diferentes horarios.
La limonada es muy buena, recomendable. …"
