Usuario,Periodo,Comentario
Alejandro Bustamante,a week ago,Excelente productos atención y puntualidad
Ricardo Poblete,2 weeks ago,
Natalia Placencia Muñoz,2 weeks ago,"Pésima experiencia, hice el pedido a la hora de apertura. llegó dos horas tarde y la comida helada. No lo recomiendo para nada …"
Jhonny Morales,4 weeks ago,
jose yerian,a month ago,
Milton Fuentes,a month ago,"Excelentes

(Translated by Google)
Excellent"
Hans Jesús Hidalgo Sánchez,2 months ago,
jose martinez,2 months ago,
Zaralina Sandoval,2 months ago,Buena relación costo beneficio. Fue pedido para retirar en el local y la atención fue super rápida. La pizza con masa delgada y con la cantidad justa de ingredientes. La atención es el único punto que pudiera tener oportunidad de mejora …
Stevens Vega,2 months ago,"Muy buena atención y rica comida

(Translated by Google)
Very good service and delicious food"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
riguey garcia,2 months ago,"Súper rápidos con los pedidos, las pizzas delgadas le dan el toque perfecto y el sabor buenísimo, la atención de la cajera un 10 super amable …"
Lucia Saavedra Bazán,2 months ago,
Leticia Rico,3 months ago,"Excelente

(Translated by Google)
Excellent"
Rafael Juarez,3 months ago,
Joanna Figueroa,3 months ago,"Buenísimas!!!

(Translated by Google)
Great !!!"
Fabianyelit Herrera,3 months ago,"Me gustó. La masa de la pizza es exquisita. Buen sabor y precio. Fui hace un mes, sin embargo, preferí pedirla para llevar porque no me gustó mucho su área para comer. …"
Alvaro Mariano Rozas Undurraga,3 months ago,
Nelson Figueroa,3 months ago,
Libardo Vergel,3 months ago,
Patricia Cantero Morales,3 months ago,"Muy buenas!

(Translated by Google)
Very good!"
Romy Orellana,4 months ago,
Esteban Aparicio,4 months ago,Exelent
jose francisco hurtado,4 months ago,
javier piñeiro,4 months ago,"Bien

(Translated by Google)
Well"
Natasha Bocarruido,4 months ago,
Gregorio Camacho,4 months ago,"Muy mala calidad y sabor

(Translated by Google)
Very poor quality and taste"
Alberto Villalobos,4 months ago,"muy ricas

(Translated by Google)
very rich"
Pedro Petuni,4 months ago,
Jeminy Copaiba,4 months ago,
Estefania Rodriguez,4 months ago,"Masa delgada buen sabor

(Translated by Google)
Thin dough good taste"
carmen carolina ordosgoiti bermudez,4 months ago,
Karen Vidal Ramírez,4 months ago,
Carlos prieto,4 months ago,
carlos granados,5 months ago,
Martina Castillo,5 months ago,
Oswal Garrido,5 months ago,
Alberto Lugo,5 months ago,
Santiago Tapia,5 months ago,
Maximiliano Aravena,5 months ago,"Excelentes pizzas

(Translated by Google)
Excellent pizzas"
bati 095,5 months ago,"No he ido y no creo ni acercarme, robaron mi cuenta para promocionar su pizzeria y para colmo me querian hacer pagar por su publicidad (tener en claro que soy menor de edad) cuidado con lo que hacen, mejor concentrence en hacer pizzas que …"
Matias Seguel,6 months ago,"Delicioso

(Translated by Google)
Delicious"
Yamila Paredes,6 months ago,"Sabrosas pizzas

(Translated by Google)
Tasty pizzas"
Maria Mella,6 months ago,
Claudio Pizarro,6 months ago,"Buenísima

(Translated by Google)
Very good"
Maryam Acevedo,6 months ago,
Jesús Zapata,6 months ago,
daniel felipe castro campillay,6 months ago,
nelson eduardo borges mendoza,6 months ago,
Nairoby Rodriguez,7 months ago,"Excelentes pizzas para llevar, están listas en tiempo récord.

(Translated by Google) …"
Henry Monzon,7 months ago,
Juan Enrique Poblete Lagos,7 months ago,"Ricas, pero flacas viejo

(Translated by Google)
Rich, but skinny old"
Wilmarys Cuicas,7 months ago,"Buen sabor

(Translated by Google)
Good taste"
Yoel Huerta,7 months ago,"Buena atención

(Translated by Google)
Good attention"
Gino Ponce,7 months ago,"Rico

(Translated by Google)
rich"
Josenny Marielys Melendez Navarro,7 months ago,"Siempre me han encantado las pizzas divinas atienden y despachan rápido

(Translated by Google) …"
Angel Barreto,8 months ago,"La pizza es demasiado delgada no llega ni a 1 centímetro de grosor, el sabor es muy grasoso y seco …"
