Usuario,Periodo,Comentario
Geraldinee NF,5 days ago,
Luis Ossa,3 weeks ago,"Buena comida y grato ambiente

(Translated by Google)
Good food and pleasant atmosphere"
Claudia Flores,a month ago,"Muy ricas las pizzas y a mi hijo le encantaron los tacos al pastor.

(Translated by Google) …"
Ignacio Lamas Undurraga,a month ago,
nelson andres hernandez salas,a month ago,"Muy rica sus pizzas

(Translated by Google)
Very delicious pizzas"
Liliana Moriani,a month ago,
sergio rosas ortega,a month ago,"Muy buen lugar para comer y tomar un trago , lo recomiendo

(Translated by Google) …"
Alejandro RomoGallo,a month ago,"La dj, Carolina hizo de esa tarde un muy buen momento

(Translated by Google) …"
Francisca Hosiasson,a month ago,"Solía frecuentar mucho la pizzería Olimpia antes de la pandemia. Me encantaba el lugar, la carta y la buena onda de la atención. Fui el pasado viernes con amigos y todo cambió. La atención muy que deficiente, de parte del mesero y del …"
Conrad Mainhard,a month ago,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
chris walker gutierrez,3 months ago,
María Parsons,3 months ago,"Excelente

(Translated by Google)
Excellent"
María Valentina Villamizar Rojas,3 months ago,"Excelente pizza y ambiente, lastima que tiene un muñeco de Chávez en el mostrador :( …"
Ricardo Reyes,4 months ago,
Valentina Mayorga Foncea,4 months ago,Súper cachilupi. Si quieres pasar un buen rato anda a éste lugar. Hay días donde tocan dj de vinilo y bandas en vivo en pleno centro de providencia! Volveré muy pronto …
Hector Madrid,4 months ago,"La atención un poco lenta, pero buena calidad de productos

(Translated by Google) …"
Jorge Montesinos Camino,4 months ago,
Cherie Paau,4 months ago,"Es uno de mis lugares favoritos en Providencia. La pizza es LA MEJOR, brindan una atención excelente, muy buena onda todos y los tragos riquísimos. Muy buen sour y qué te digo de la sangría!! Tienen muchas mesas afuera, se toman todas las …"
Alonso Diaz,4 months ago,"Hola, puedo reservar una mesa?

(Translated by Google)
Hello, can I reserve a table?"
Carla Navarro Estrada,4 months ago,"Limpio, ordenado, variado, poca gente, súper!

(Translated by Google)
Clean, tidy, varied, few people, super!"
Camila Tell,4 months ago,"La mejor pizzería de Santiago

(Translated by Google)
The best pizzeria in Santiago"
Priscila Pereira,4 months ago,"Excelente servicio

(Translated by Google)
Excellent service"
Javiera Fuentealba,4 months ago,"Es mi restaurante favorito, la comida es deliciosa, está bien ubicado y atienden bien 😁 10/10 ⭐
Recomiendo todas las pizzas …"
Alejandro Rodriguez,5 months ago,"Buena comida, piezas con ingredientes variados, muy exóticos eso sí, buena música aunque le falta mejorar el sonido, las croquetas de hongos son lo máximo. …"
Marcela Cereceda O.,5 months ago,
Fabiola Calderón,5 months ago,"Ricos tragos y buen servicio.
La comida.. Buena. …"
Cynthia Sepulveda,5 months ago,"Buena atención,rápida y excelente comida

(Translated by Google)
Good attention, fast and excellent food"
Luis Valenzuela Olave,5 months ago,
kizzy mabare,5 months ago,"Excelente atención excelente música muy rica la comida

(Translated by Google) …"
Maria Valldeperez Rosales,5 months ago,
Alan Spencer,5 months ago,
marien finol,5 months ago,"Buen lugar para pasar un rato relajado del estrés del día a dia

(Translated by Google) …"
Cecilia Veronica Roa Gilli,5 months ago,
Frank Suárez,5 months ago,
dani bahamonde,6 months ago,"Las pizzas son deliciosas y muy buena atencion

(Translated by Google) …"
Flor Jardic,8 months ago,
Mónica Contreras,8 months ago,"La pizza de hongos maravillosa

(Translated by Google)
Wonderful mushroom pizza"
Sebastián V. Mansilla,a year ago,
Heredi Hervia,a year ago,"Muy rico todo, pero se sienten todos los olores de la cocina

(Translated by Google) …"
Jorge Codina,a year ago,
Claudio Quiroz,a year ago,
Maria Paz Diestre,a year ago,"Siempre un buen lugar!

(Translated by Google)
Always a good place!"
Sofía Videla,a year ago,"Me encanta la pizza de pera con queso azul

(Translated by Google)
I love the blue cheese pear pizza"
Paulo Felix,a year ago,It rocks
Ignacio Rivas,a year ago,
Macarena Puelma,a year ago,
Sebastian Farias,a year ago,
Eduardo Castrillon,a year ago,"Great place to order pizza, a wide variety of options and combinations, also a great service. Usually crowded by weekend nights."
Paulo Felix,a year ago,It rocks
Anzelmo Roman,a year ago,
daniele alario,a year ago,"(Translated by Google) Thin and tasty pizzas, very different from other typical Chilean pizzas. Good tiramisu. …"
Carlos Silva Pedraza,a year ago,
Rodrigo Bastías,a year ago,"Buena comida y cervezas. La atención es lenta, aparentemente hay menos meseras (os) de las(os) necesarias(os). …"
Gabriel Tornería M.,a year ago,
Milton Palma Muñoz,a year ago,"Buena ubicación
Buena atención.
Pizzas a la piedra , buena masa. …"
Karen Abrigo Blanc,a year ago,
Alvaro Guerra,a year ago,"De las mejores terrazas de la cuadra, no tan bulliciosa como Orrego Luco, ricas pizzas y sangría deliciosa y abundante. …"
Loreto Pacheco,a year ago,
Camila Constanza Vera,a year ago,
Jorge Astorga,a year ago,"Muy rica la pizza pilpil

(Translated by Google)
Very delicious pilpil pizza"
Juan Villegas,a year ago,"Buena comida, buena bebida, buena música y la buena compañía del barman

(Translated by Google) …"
Carolina Padilla,a year ago,
Aurora,a year ago,"La pilpil es una maravisha

(Translated by Google)
The pilpil is a maravisha"
L.D.G. 22,a year ago,
Jesus Palma,a year ago,"Buena

(Translated by Google)
Good"
Daysy Roman Urdanetay,a year ago,
Jan Fergusson,a year ago,"Piza de masa delgada y crocante. Horneada a la piedra. Bien lograda. Sabor intenso y equilibrado. Buena carta, variada. Sencilla oferta de cervezas, pero suficiente. Espacio angosto lo hace acogedor. Agradable atención. …"
Magguie Avila,a year ago,
Miguel Rivera Donoso,a year ago,"Buena pizza, no de las mejores, pero muy muy buena. El mozo, el señor que está  al almuerzo los días de semana, demasiado simpático …"
Vale Cuello,a year ago,
Nicolas Celis Perez,a year ago,
Kain Toreador,a year ago,
Antonio Ecclefield,a year ago,"Pizzas deliciosas

(Translated by Google)
Delicious pizzas"
Rodrigo Bello,a year ago,"lo mejor del sector, por lejos!

(Translated by Google)
the best in the sector, by far!"
mariana montaldo,a year ago,
Aldo Caprile,a year ago,
Victoria Arnaiz,a year ago,Hay variedad de pizzas y cada una estaba muy rica. Faltó variedad de cervezas y a la sangría le faltaba reposo. Atención rápida. …
Mónica Tapia,a year ago,"Demasiado caro para la atención que tienen

(Translated by Google)
Too expensive for the attention they have"
Alex Cosgrove,a year ago,"Mi favorita!!!

(Translated by Google)
My favorite!!!"
Sergio Valenzuela,a year ago,
Mariana Salgado,a year ago,"La pizza es rica, la única lata es que pocas veces hay mesa adentro entonces toca sentarse afuera y de repente hay mal olor en la calle (basura, orina) y se acercan muchos mendigos pidiendo plata y a veces vendedores ambulantes... aunque …"
Stéphane Auguin,a year ago,"Las pizzas son buenas, atienden bien, rico ambiente.

(Translated by Google) …"
Gustavo Lagos Arzon,a year ago,"Buenas pizzas

(Translated by Google)
Good pizzas"
REGINA ROJAS OYARZO,a year ago,
mauricio escudero,a year ago,
Carlos Alfonso Contreras,a year ago,"La BBQ es una monstrua....

(Translated by Google)
The BBQ is a monstrua ...."
Caesar Tjalbo,a year ago,"Decent pizza's, reasonable prices. Nothing special."
Marcela Boente,a year ago,
Sapo Vallejo,a year ago,
Mile,a year ago,
