Usuario,Periodo,Comentario
TheManJaraT3,51 minutes ago,"(Translated by Google) A delight

(Original)
Uma delicia"
Alonso Valdés,18 hours ago,
Gabriel Escalante,19 hours ago,Buena atención Buenos precios lugar agradable
José Miguel Molina,a day ago,
Monica Silva,a day ago,
Ivan smith,2 days ago,"Perfecto

(Translated by Google)
Perfect"
Sabrina Leañez,3 days ago,La pizza del monte es muy buena! Una explosión de sabores! La recomiendo ⭐⭐⭐⭐⭐
Natalia Sepulveda,5 days ago,
Matias Curihual,6 days ago,
Valentina Vio,6 days ago,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Claudia Vergara,6 days ago,"Como siempre tío tomate...muy rico¡¡

(Translated by Google)
As always uncle tomato ... very tasty!"
Mauricio Esteban Salas Hernández,a week ago,"excelente

(Translated by Google)
Excellent"
Silvana Fracachan,a week ago,
Miguel Viloria,a week ago,
Erika V,a week ago,Buen ceviche y gohan.  Recomiendo la  pizza con pera.
Bianca De la rivera,a week ago,"La entrada y tragos ricos, la pizza insípida tuvimos que prácticamente aliñarla para que tuviera un poco de sabor, la entrada llegó después que la pizza y en atención la chica que nos atendió todo bien, pero entre garzones muy ruidosos y …"
pub indomito,2 weeks ago,
Nelson Gutierrez,2 weeks ago,
Daniela Mc Pherson,2 weeks ago,"Fuimos a almorzar, todo muy higénico, todos con mascarillas, buena ventilación y separación de mesas aunque la verdad estaba bastante desocupado. La atención rápida y la comida rica."
Vïctor H Salamanca,2 weeks ago,"Ricas pizzas

(Translated by Google)
Rich pizzas"
jose gregorio thorrens seijas,3 weeks ago,
Camila Retamal,4 weeks ago,
Sandra Mora,a month ago,"Me encantan estas pizza las recomiendo
Muy muy Ricas"
Mauricio Perez,a month ago,"3 semana consecutiva (viernes) asistiendo a este local, solo malos ratos, partiendo por las anfitrionas, unas despotas, el dueño o administrador de local un roto, bebiendo en la calle con amigos a unos metros del local, una ordinariez. …"
Francisca Alzamora,a month ago,"Muy bueno!

(Translated by Google)
Very good!"
Mitchele Vidal,a month ago,"Bello patio interior donde sirven ricas pizzas y algunos otros platos, en el ondero Barrío Italia. …"
Maria Sevilla,a month ago,"Excelente atención

(Translated by Google)
Excellent attention"
Romina Boniche,a month ago,"Malo. Pizza fria, no lo recomiendo.

(Translated by Google)
Bad. Cold pizza, I don't recommend it."
Jesus Enrique Urdaneta Valera,a month ago,"Buena atención de Venezolanos y buen sabor de las pizzas

(Translated by Google) …"
Cristobal Maurens,a month ago,
Juan Oyarce,a month ago,
cesar perez,a month ago,"Excelente comida, muy buena atención y muy linda las chicas

(Translated by Google) …"
Antonio Ravelo,a month ago,
Jessaid Escobar,a month ago,"Aunque no lo crean, mi plato favorito es el postre “El volcán de chocolate” muy muyyyy rico (sobredosis de azúcar), si te gustan las pizzas de masa delgadas entonces te encantará Tío Tomate, he probado carpaccio de jamón serrano, crudo y …"
Isabel DIAZ OTAROLA,a month ago,
carolina leal benavides,a month ago,
Angelica Julio,a month ago,
Liseth Perez,a month ago,"Comida deliciosa, atención rápida, y buen servicio.

(Translated by Google) …"
Germán Edmundo Montilva Rebolledo,a month ago,"Siempre que vamos la familia nos encanta.

(Translated by Google)
Whenever we go the family we love it."
Alfredo Morales,a month ago,"Mala la atención por parte de la gerencia

(Translated by Google)
Bad attention from management"
karen Valenzuela,a month ago,
renex7,a month ago,"Exelente muy ricas la pizza palta carne mechada

(Translated by Google) …"
Ariel Henriquez,a month ago,"Ricas pizzas y buen ambiente, solo la música como que no coincide con el lugar🤔 …"
Lorena pizarro,a month ago,"Ricas pizza y mal que No tengan Piña colada.

(Translated by Google) …"
JAEL DEL VALLE,a month ago,
José Gregorio Chacón Contreras,a month ago,
walter j.,a month ago,
katherine fierro trina,a month ago,
Carmen Riquelme,a month ago,"Pésima atención, no lo recomiendo en lo absoluto, muy mala experiencia.

(Translated by Google) …"
Karina Campora,a month ago,"Muy ricas pizzas.

(Translated by Google)
Very tasty pizzas."
Sandra Malaver,a month ago,
Alejandro Vergine,a month ago,
Juan Enrique Caiceo,a month ago,"Buenas medidas sanitarias y menu variado y sabroso

(Translated by Google) …"
Helen Sofia Garcia Sarmiento,a month ago,
paulina g. puga,a month ago,"Excelente servicio, pizzas, tragos y jugos maravillosos

(Translated by Google) …"
Cristian Humeres,2 months ago,"Carta y sabores excelentes. Buena atención a la mesa y buenos precios

(Translated by Google) …"
Elizabeth Inostroza Aguilera,2 months ago,"Uno de mis lugares favoritos. La comida, la atención, la presentación y sobre todo su manera de hacer diferencias en pequeños grandes gestos cuando se equivocan... Trayendo a la mesa una rica cortesía de la casa solo por un error en la …"
Pablo Ortiz,2 months ago,"Buen lugar, para compartir ricas Pizzas !!!

(Translated by Google)
Good place to share delicious Pizzas !!!"
Fabiola Aguilera,2 months ago,"Comida deliciosa!!!

(Translated by Google)
Delicious food!!!"
catalina M.S,2 months ago,Buenisimas las pizza y te atienden muy rapido. Además el equipo de meseros se mueven rapido para que te llegué tu pedido. Excelente! 👍🏽 …
José Elías Escobar V.,2 months ago,
ELIGIO ROJAS,2 months ago,
Felix Alvarez,2 months ago,"Rico y bien atendido

(Translated by Google)
Rich and well cared for"
Leopoldo Alarcón Albornoz,2 months ago,
Ignacio Quiroz,2 months ago,
NISSAN ANE,2 months ago,"De come , Buen servicio

(Translated by Google)
De eats, Good service"
Yesly Salinas,2 months ago,"Ponen horarios que no cumplen

(Translated by Google)
They put schedules that they do not meet"
Tamara Velasquez Ortiz,2 months ago,"Muy buen lugar... excelente atencion y pizza!!

(Translated by Google) …"
Imre Albertti,2 months ago,
Carlos Marquez Jara,2 months ago,"Productos frescos y recien horneados, cuenta con una carta variada, en la que no sólo incluye pizzas, precios adecuados para la calidad de la comida que venden …"
Alice Hauck,3 months ago,
