Usuario,Periodo,Comentario
cristopher mancilla,4 days ago,
Pablo Donetch,5 days ago,
Alejandra XDD,6 days ago,
Diana Simonovis,a week ago,"Rico lugar

(Translated by Google)
Rich place"
Paz Sepúlveda Caicés,a week ago,
Tomas Giorgio Silva Gandolini,a week ago,
natalio leon,a week ago,"Atención algo lenta

(Translated by Google)
Somewhat slow attention"
Daniel Cifuentes,a week ago,
Tito Minas,2 weeks ago,
Caveman Chile,2 weeks ago,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Rafael Filon,2 weeks ago,
Pilar Bermúdez,3 weeks ago,
Nacho Mena- Bernal Rosales,a month ago,
Arispau,a month ago,"Malísimo, hice una fila de tres horas y no logré entrar 😭

(Translated by Google) …"
Jorge Berrio,a month ago,😊
kender zarraga,a month ago,
Valentina Vidal,a month ago,Buenas opciones y ambiente solo que los meseros un poco perdidos algunos y no nos veían …
Sylvia Mansilla S.,a month ago,"Buena atención

(Translated by Google)
Good attention"
Vicky Rubio,a month ago,
Nico Andres Farias Rojas,a month ago,
Leslie Mora Luthe,a month ago,"Pizzas exquisitas y grato ambiente.

(Translated by Google)
Exquisite pizzas and pleasant atmosphere."
Eduardo Roman,a month ago,
Juan Echeverria,a month ago,"Excelente lugar

(Translated by Google)
Excellent place"
Javier Morgado Rodriguez,a month ago,
Alejandro Villanueva Araya,a month ago,
Lucas Alonso,a month ago,
Marta Hernandez,a month ago,"Delicioso!!!

(Translated by Google)
Delicious!!!"
Rodrigo Ehrenfeld,a month ago,
Juan Pablo Valverde,a month ago,"Buen lugar pero muy caro sobre todo las cerveza sin alcohol...

(Translated by Google) …"
emmanuel Jiménez,a month ago,
Alhelsing HD,a month ago,"Muy sabrosas las pizzas 🍕y agradable atención 👌

(Translated by Google) …"
Paula Rodríguez,a month ago,"Día de lluvia se mojaba todo

(Translated by Google)
Rainy day everything got wet"
Juan Eduardo Bellinghausen,a month ago,"Agradable, acogedor, bien atendido!!

(Translated by Google)
Nice, cozy, well attended !!"
Carla Muñoz,a month ago,"Lugar de pizzas, tiene carta prácticamente exclusiva para pizzas, son muy buenas y el daiquiri también lo es. El lugar es agradable con bastante espacio …"
Susan Andrea Molina Stewart,a month ago,
Fernando Cuevas Escalante,a month ago,"111¹1¹1¹¹ sea dfz caballada fdçcccççc11¹1¹¹1¹1¹¹¹¹¹¹ de

(Translated by Google) …"
Madeline Arriagada,a month ago,
jorge cifuentes,a month ago,"No fui

(Translated by Google)
I did not go"
Gerardo Haces,2 months ago,
Adolfo Pereira,2 months ago,"Excelente lugar! Las pizzas son de una calidad superior a muchas.

(Translated by Google) …"
Alberto Quintero,2 months ago,
Pawii Dastres Gallardo,2 months ago,
Diego Muñoz,2 months ago,
Gabriel Contreras,3 months ago,"Aunque con restricciones de horario, atienden muy bien. Rápidos.

(Translated by Google) …"
Hector Moran,3 months ago,
Laetitia Gomes,3 months ago,
Gabriel Vásquez Mardones,3 months ago,"Ricas pizzas, mejores ensalsas y buena atención

(Translated by Google) …"
Daniel Varela Restrepo,4 months ago,
