Usuario,Periodo,Comentario
Denise Oyaneder,2 days ago,"Ricas pizzas rectangulares, masa a la piedra bien delgada con mezclas de sabor innovadoras, saludables y sabrosas, se pueden pedir hasta 4 sabores distintos para la pizza grande y 2 para la individual, me gustó la de tomate cherry, golden berries y trocitos de nuez."
Alberto Paredes Ufombrille,4 months ago,"La complejidad de sus sabores atentan el gusto hasta del más pulcro carnívoro, si crees que lo has probado todo, ven a Veggie Pizza! …"
Felipe Santibañez,5 months ago,"Realmente me sorprendieron, supe después que eran veganas. Una delicia, buen formato en trozos cuadrados. Pedimos la 4 sabores para probar todas las opciones, todas deliciosas. 200% recomendable!! …"
Renato Matkovic,4 months ago,"Exquisito todo. Muy buena atención. Lo único malo es que los toldos no ayudaban mucho a detener el sol, por lo que pasé bastante calor. …"
Doménica Pérez,4 months ago,"me soprendió el tamaño de la pizza grande en relación al costo. Si bien, los sabores son ricos, me desilucionó lo pequeña que era. Pedí una pizza grande para compartir con una persona y quedamos con hambre. Sirve como canapé mas que otra …"
Patricia Lopez,5 months ago,"Cuando probé veggie pizza  fue como amor a primera vista , el sabor de las pizzas ufff lo máximo  , me comí casi  la pizza entera jajaja no podía parar de comerla y  después e comerla  no sentí esa pesadez  en el cuerpo como siento con …"
Jose Melgar,5 months ago,
Maria Cecilia Arevalo Andriola,a month ago,
Mario Melgar,5 months ago,
Susana Castilla,5 months ago,
,,
,,
