Usuario,Periodo,Comentario
karina ruz,5 days ago,"Rápida atención

(Translated by Google)
Fast attention"
alexandra letelier fuenzalida,5 days ago,"Muy rica la masa al igual que los ingredientes.
100% recomendable 👌"
Daniel Vasquez,6 days ago,
Giovanna Castillo,2 weeks ago,"Muy rico

(Translated by Google)
Very rich"
Mr. ramenam,3 weeks ago,
Josee Valdes,3 weeks ago,"(Translated by Google) Fantastic

(Original)
Fantástico"
emilia aguilar,a month ago,Me atrevo a decir que en los tres años que llevo en chile es una de las mejores pizzas que he probado acá!! Súper frescas y sabrosas 100% recomendados …
Jesus Repilloso,a month ago,"Excelentes pizzas! Y variedad de cervezas

(Translated by Google)
Excellent pizzas! And variety of beers"
Gabriela O A,a month ago,"Pizzas super pepperoni y Waldos muy ricas y crujientes

(Translated by Google) …"
Ricardo Ovalle Rios,2 months ago,"Buenos precios y rápidas pero poca variedad

(Translated by Google)
Good prices and fast but little variety"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Carluna ^^,3 months ago,
Cristian oses,4 months ago,"Buena carta de pizzas, ensaladas sabrosas y contundentes.

(Translated by Google) …"
Carlos Neira,5 months ago,"Exquisita pizza! ingredientes frescos y la masa muy tierna además de una increíble atención y tiempo de espera adecuado, recomiendo que prueben la pizza Margarita sabores equilibrados y Rica! Si buscas algo picante la pizza con jalapeño es …"
Javiera,5 months ago,
Yulieth Berrio,5 months ago,
Magdalena Carolina Labbé Chiavenato,5 months ago,Las pizzas son increíbles!!!! La atención también es muy buena y el tiempo de espera perfecto. 100% recomendado. …
Fabiola Navarrete Osorio,6 months ago,"Mesas disponibles. Buenos precios. Pizza sabrosa

(Translated by Google) …"
Eduardo Alberto Villagra Villegas,6 months ago,"Exquisitas pizzas, con una buena cerveza.
La base delgada de masa, junto a su salsa son uno de sus puntos positivos.
Recomendado para ir con amigos. …"
Francisco Molina,7 months ago,"Mejor pIzza de Santiago 🙌

(Translated by Google)
Best pIzza in Santiago 🙌"
margarita gonzalez,8 months ago,"Muy rico nada que dice si volvería a comer, muy buena atención.

(Translated by Google) …"
Camilo Contreras,8 months ago,"Rico y barato

(Translated by Google)
Rich and cheap"
Alen Moller,9 months ago,"Pizzas ricas, buen servicio y muy buen precio. Recomendadísimo!!

(Translated by Google) …"
NATALIA HAYLER LETELIER,10 months ago,
osvaldo cabezas,10 months ago,"Maravilloso.

(Translated by Google)
Wonderful."
Felipe Soto,10 months ago,"La mejor pizza que hemos probado. Muy sabrosa, masa delgada, y el queso es muy rico! …"
Felipe Ignacio Hanna Castro,11 months ago,
Klaus Dietz,a year ago,"Excelentes pizzas! La masa, queso e ingredientes son increíbles. Ninguna comparación a las pizzas de cadenas, que solo poseen exceso de sodio. Además, buenos precios y buen servicio (en este caso delivery, que llegó muy rápido y en muy buen …"
Emiliano Sanfuentes,a year ago,"Muy buenas pizzas la verdad me sorprendieron me considero un catador de pizzas ya que he recorrrido el mundo probandolas, pero estas son muy buenas y economicas todo artesanal y una masa exquisita …"
Carolina K,a year ago,"Muy rica me encanto desde el primer bocado. Pero un detalle importante cuando se pide un extra, que venga con el extra de pimentón que pedimos, llegaron 4 pedacitos y cobran como pimentón entero. Sería una pena que algo tan Rico y de …"
expedition jungle,a year ago,"Despues del Tiramizu, mejor pizza que comi en Santiago. Soy extranjero y muy critico para las pizzas(porque me cantan), pero de Waldo's lo disfrute mucho. Recomiendo a todos que realmente les gusta comer pizza. …"
Maria F. Iriarte,a year ago,"Horrible la pizza quemada y era puro aceite

(Translated by Google)
Horrible burned pizza and it was pure oil"
Sebastian Ignacio Ramirez F,a year ago,"Lejos la mejor pizza del sector, masa rica e ingredientes acorde a uma pizza que realmente marca lá diferencia.... Prueben la Blue!!! Esta cuatica!!! …"
OSVALDO ANDRES PACHECO ENCINA,a year ago,"Son muy buenas las pizzas

(Translated by Google)
The pizzas are very good"
Freddy Olano,a year ago,
Andrea Marchetta,a year ago,
sebastian ceballos,a year ago,
Anthony Gomes,a year ago,
Mona,a year ago,"Exquisitas pizzas y sus valores no superan los 7mil ! Mi preferida la de queso azul.
Además destacar la buena atención desde que se ingresa al local, donde en estos …"
alvaro olivares,a year ago,"bien previo y calidad, atención de prinera6

(Translated by Google) …"
sergio narbona,a year ago,"A mi parecer un restauran con las 3 B,  buenos productos en relacion a precio y un ambiente agradable en la terraza, lamentablemente muchisima gente transita y pasa gente molestando. …"
Carlos Eugenio,a year ago,
Matias Baez,a year ago,Waldo's debería ser patrimonio nacional. Cada persona que nazca o ponga un pie en este país debe ir por ley a comer una de sus pizza.  Por favor nunca suban el precio. Lejos de las mejores pizza del Chile y a un precio para no creer(3900 la …
Edison Quiroz A.,a year ago,"Buenas Birras y pizza

(Translated by Google)
Good Birras and Pizza"
Musical Man,a year ago,"Muy buena pizza. Usan masa delgada, lo que les da más sabor. También su textura es bastante agradable. …"
Marcelo M,a year ago,"Mi calificación es solo por la pizza del día, ya que es lo único que he probado.
Pizza simple, sin parafernalia, con una  delgada masa a la piedra muy buena, una …"
Majo D.,a year ago,Damn good pizza
Jessie Barrera,a year ago,
Roberto Berrios,a year ago,
Patricia Pinto,a year ago,"Agradable lugar. Buenas las pizzas

(Translated by Google)
Nice place. Good pizzas"
Jorge Aichele del Sol,a year ago,
